Naive: 3.811567 s
Searching through approximately 10^{6.02} configurations.../home/jirka/.local/lib/python3.11/site-packages/opentuner/search/driver.py:183: SAWarning: Object of type <DesiredResult> not in session, add operation along 'TuningRun.desired_results' will not proceed
  self.session.flush()  # populate configuration_id
Success: time=0.390628 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': True, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.886767 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 15, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 34, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 29, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 53, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 58, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 53, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 25}
Success: time=0.250091 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 28, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Success: time=1.585383 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 48, 'J_BLOCK_SIZE': 30, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
Error: block sizes do not divide matrix dimensions on {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 26}
Success: time=1.561981 s on  {'I_BLOCK_SIZE': 20, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': True, 'TRANSPOSE_B': True, 'K_BLOCK_SIZE': 2}
[    36s]    INFO opentuner.search.plugin.DisplayPlugin: tests=76, best #81, cost time=0.2417, found by UniformGreedyMutation
Success: time=0.234897 s on  {'I_BLOCK_SIZE': 30, 'J_BLOCK_SIZE': 60, 'TRANSPOSE_A': False, 'TRANSPOSE_B': False, 'K_BLOCK_SIZE': 2}
